Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 6328,562.22615.peg.4928,unique,Mobile element protein_300,140
Cluster 6333,562.22913.peg.4764,unique,"Phage tail fiber, side tail fiber protein Stf_171",6
Cluster 6338,562.23379.peg.2759,core,L-Proline/Glycine betaine transporter ProP_3,1966
Cluster 6339,562.23576.peg.1486,unique,"Phage head, portal protein B_63",46
Cluster 6341,562.42841.peg.5219,unique,IncF plasmid conjugative transfer protein TraG_36,9
Cluster 6343,562.42857.peg.2211,core,Hexose-phosphate uptake signal transduction histidine-protein kinase/phosphatase UhpB_6,1965
Cluster 6345,562.7576.peg.5284,accessory,Mobile element protein_1374,485
Cluster 6346,562.7579.peg.5183,unique,Protein RhsD_215,8
Cluster 6348,562.12959.peg.5095,core,L-arabinose isomerase (EC 5.3.1.4)_1,1968
Cluster 6353,562.19186.peg.3890,accessory,Putative phosphoethanolamine transferase YjgX_2,633
Cluster 6357,562.22541.peg.4886,unique,VgrG protein_40,51
Cluster 6361,562.22675.peg.4297,unique,"Uncharacterized protein YphG, TPR-domain containing_4",11
Cluster 6366,562.22810.peg.4055,unique,Phage tail fiber protein GpH_82,22
Cluster 6367,562.22938.peg.2334,core,Copper sensory histidine kinase CusS_7,1959
Cluster 6368,562.22962.peg.2603,unique,Transposase_246,7
Cluster 6374,562.23614.peg.3575,accessory,Tripartite tricarboxylate transporter TctA family_8,1233
Cluster 6376,562.23764.peg.4913,unique,General secretion pathway protein E_17,25
Cluster 6382,562.42772.peg.223,unique,"Phage terminase, large subunit_39",68
Cluster 6386,562.12959.peg.1379,accessory,Putative ribose/galactose/methyl galactoside import ATP-binding protein 1 (EC 3.6.3.17)_1,1268
Cluster 6387,562.12959.peg.527,accessory,Membrane protein_1,1200
Cluster 6388,562.12959.peg.1664,accessory,"Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD_1",1844
Cluster 6389,562.12960.peg.1507,accessory,Phenylacetaldehyde dehydrogenase (EC 1.2.1.39)_1,472
Cluster 6393,562.16466.peg.2566,unique,"ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)_3",78
Cluster 6394,562.17722.peg.1431,accessory,Mobile element protein_83,350
Cluster 6395,562.19821.peg.1356,accessory,Arginine/ornithine antiporter ArcD_4,275
Cluster 6396,562.22436.peg.3490,unique,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_15",9
Cluster 6407,562.23068.peg.1465,core,Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)_4,1958
Cluster 6409,562.28810.peg.1677,accessory,"ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose) / ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)_6",685
Cluster 6415,562.12959.peg.855,core,"Protein YhjJ, putative peptidase_1",1966
Cluster 6416,562.12959.peg.4153,accessory,"Phage protein Mup29, H_1",506
Cluster 6417,562.12960.peg.4886,accessory,"Phage tail sheath Mup39, L_1",451
Cluster 6420,562.16325.peg.4425,core,Ethanolamine utilization protein EutA_1,1953
Cluster 6421,562.17721.peg.2034,unique,Sucrose outer membrane porin_3,20
Cluster 6422,562.22430.peg.4818,unique,Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)_2,34
Cluster 6425,562.22527.peg.4993,unique,IncF plasmid conjugative transfer protein TraG_11,20
Cluster 6426,562.22566.peg.5211,unique,"Phage tail tip, host specificity protein J_17",90
Cluster 6427,562.22618.peg.1566,unique,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_35",9
Cluster 6428,562.22619.peg.4946,accessory,VgrG protein_47,522
Cluster 6430,562.22785.peg.4498,accessory,T6SS component TssC (ImpC/VipB)_10,603
Cluster 6444,562.7572.peg.4996,unique,Phage capsid and scaffold_19,7
Cluster 6445,562.7734.peg.539,accessory,Gamma-glutamyl-aminobutyraldehyde dehydrogenase (EC 1.2.1.-)_4,775
Cluster 6446,562.12959.peg.5143,accessory,Arylsulfatase (EC 3.1.6.1)_2,644
Cluster 6447,562.12959.peg.1677,accessory,General secretion pathway protein E_1,1638
Cluster 6450,562.19186.peg.2041,accessory,Uncharacterized sulfatase YidJ_3,1374
Cluster 6452,562.22480.peg.4345,unique,Phage tail fiber protein GpH_23,5
Cluster 6453,562.22490.peg.3768,unique,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 3'-nucleotidase (EC 3.1.3.6)_3",58
Cluster 6457,562.22591.peg.129,unique,Flagellin FliC_19,18
Cluster 6459,562.22706.peg.5117,unique,"Phage tail tip, host specificity protein J_31",48
Cluster 6475,562.12959.peg.1414,core,Sialic acid transporter (permease) NanT_1,1967
Cluster 6476,562.12959.peg.3193,accessory,Diguanylate cyclase (EC 2.7.7.65) => DgcJ_1,1920
Cluster 6477,562.12960.peg.3422,core,Putrescine aminotransferase (EC 2.6.1.82)_1,1968
Cluster 6480,562.22460.peg.3472,unique,T6SS component TssC (ImpC/VipB)_3,6
Cluster 6481,562.22464.peg.3061,accessory,Diguanylate cyclase (EC 2.7.7.65) => DgcT_2,1561
Cluster 6483,562.22562.peg.249,accessory,Putative ankyrin repeat protein B_11,218
Cluster 6486,562.22663.peg.4764,unique,Phage tape measure protein Mup42_13,7
Cluster 6487,562.22777.peg.4648,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_66,130
Cluster 6493,562.23527.peg.1583,unique,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_13",15
Cluster 6497,562.23798.peg.4717,unique,Transposase_377,34
Cluster 6499,562.23909.peg.5391,unique,IncF plasmid conjugative transfer protein TraN_23,12
Cluster 6508,562.7746.peg.2055,accessory,Uncharacterized sugar kinase YgcE (EC 2.7.1.-)_9,1836
Cluster 6509,562.12959.peg.5086,accessory,Tripartite tricarboxylate transporter TctA family_1,406
Cluster 6510,562.12959.peg.1460,core,Transcription termination protein NusA_1,1970
Cluster 6511,562.12959.peg.1532,core,Altronate dehydratase (EC 4.2.1.7)_1,1968
Cluster 6512,562.12959.peg.5030,core,Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4) @ Dihydrolipoamide dehydrogenase (EC 1.8.1.4)_1,1970
Cluster 6513,562.12959.peg.2987,core,Cytoplasmic alpha-amylase (EC 3.2.1.1)_1,1963
Cluster 6514,562.12959.peg.5064,core,"UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)_1",1970
Cluster 6515,562.12960.peg.1813,accessory,Iron-sulfur cluster assembly protein SufB_3,1940
Cluster 6519,562.22461.peg.2658,unique,"Phage tail sheath Mup39, L_3",32
Cluster 6520,562.22461.peg.2654,unique,"Phage tail/DNA circulation protein Mup43, N_2",31
Cluster 6528,562.22947.peg.4382,core,Altronate oxidoreductase (EC 1.1.1.58)_6,1952
Cluster 6539,562.7673.peg.3751,accessory,Sensory histidine kinase CreC of two-component signal transduction system CreBC_12,1931
Cluster 6541,562.12960.peg.5388,unique,"Phage terminase, large subunit_2",120
Cluster 6545,562.19186.peg.5015,accessory,Uncharacterized protein YfjI_4,504
Cluster 6548,562.22458.peg.2115,accessory,D-xylose proton-symporter XylE_3,439
Cluster 6549,562.22487.peg.429,unique,orotate phosphoribosyltransferase( EC:2.4.2.10 )_1,24
Cluster 6551,562.22529.peg.5047,unique,Antigen 43_14,17
Cluster 6554,562.22690.peg.2602,unique,Phage tail fiber protein GpH_60,24
Cluster 6556,562.22701.peg.4825,unique,"Uncharacterized protein YaiT, interrupted by IS3E_4",8
Cluster 6558,562.22999.peg.2547,unique,Outer membrane usher protein HtrE_17,13
Cluster 6560,562.23245.peg.5294,unique,"Phage head, portal protein B_54",66
Cluster 6561,562.23253.peg.1975,core,Citrate Succinate antiporter (TC 2.A.47.3.2)_1,1967
Cluster 6562,562.23276.peg.1079,core,AmpG permease_1,1970
Cluster 6567,562.42732.peg.2153,accessory,Hydrogenase-4 component B_10,180
Cluster 6571,562.7695.peg.4009,accessory,General secretion pathway protein E_29,1418
Cluster 6574,562.12959.peg.1590,core,Outer membrane channel TolC (OpmH)_1,1970
Cluster 6575,562.12959.peg.4436,core,Dipeptide/H+ symporter DtpD_1,1963
Cluster 6576,562.20499.peg.5148,unique,"IS, phage, Tn; Transposon-related functions_7",8
Cluster 6577,562.22435.peg.3049,unique,Arylsulfatase (EC 3.1.6.1)_6,117
Cluster 6579,562.22453.peg.2982,unique,Copper sensory histidine kinase CusS_2,84
Cluster 6580,562.22505.peg.549,unique,Lipopolysaccharide biosynthesis protein_4,6
Cluster 6581,562.22567.peg.3288,unique,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_32",16
Cluster 6585,562.22802.peg.88,unique,Protease II (EC 3.4.21.83)_5,7
Cluster 6589,562.23186.peg.4574,unique,VgrG protein_93,60
Cluster 6590,562.23330.peg.909,unique,Putative ankyrin repeat protein B_27,5
Cluster 6593,562.23865.peg.3566,unique,"PTS system, beta-glucoside-specific IIB component / PTS system, beta-glucoside-specific IIC component / PTS system, beta-glucoside-specific IIA component_7",9
Cluster 6594,562.42700.peg.5221,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_67,13
Cluster 6596,562.45850.peg.1675,accessory,Lipopolysaccharide biosynthesis protein WzxC_4,1829
Cluster 6598,562.12960.peg.3249,accessory,Propionyl-CoA:succinyl-CoA transferase_1,729
Cluster 6599,562.12960.peg.1708,unique,"Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein_2",22
Cluster 6602,562.12961.peg.2452,core,GTP-binding protein EngA_1,1969
Cluster 6604,562.17721.peg.5103,unique,Sulfate permease_1,7
Cluster 6606,562.22529.peg.3610,unique,"Carbohydrate kinase, FGGY family_1",43
Cluster 6608,562.22687.peg.3720,unique,T6SS component TssC (ImpC/VipB)_8,6
Cluster 6610,562.22770.peg.3066,unique,Flagellin FliC_31,76
Cluster 6612,562.23009.peg.4876,accessory,Sialic acid transporter (permease) NanT_2,804
Cluster 6616,562.23675.peg.4472,unique,IncF plasmid conjugative transfer pilus assembly protein TraC_31,5
Cluster 6619,562.23885.peg.10,core,Probable sugar efflux transporter_6,1956
Cluster 6622,562.31460.peg.4843,unique,Uncharacterized protein YpjB_20,15
Cluster 6626,562.12959.peg.1111,core,Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)_1,1970
Cluster 6627,562.12959.peg.2358,accessory,"Phage terminase, large subunit_1",265
Cluster 6628,562.12959.peg.3124,core,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)_1,1970
Cluster 6629,562.12959.peg.5058,core,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)_1,1970
Cluster 6630,562.12961.peg.5014,accessory,Di-tripeptide/H+ symporter DtpC_1,1900
Cluster 6631,562.16325.peg.2076,accessory,T6SS component TssC (ImpC/VipB)_2,395
Cluster 6634,562.22493.peg.4328,accessory,Trk potassium uptake system protein TrkG_1,253
Cluster 6635,562.22572.peg.1769,unique,"Phage tail sheath Mup39, L_4",8
Cluster 6638,562.22764.peg.5244,unique,"Phage tail, tail length tape-measure protein H_45",40
Cluster 6639,562.22770.peg.3869,unique,"FIG001592: Phosphocarrier protein kinase/phosphorylase, nitrogen regulation associated_4",7
Cluster 6646,562.23527.peg.4063,accessory,Arginine/ornithine antiporter ArcD_18,275
Cluster 6651,562.42818.peg.4309,core,D-mannonate oxidoreductase (EC 1.1.1.57)_20,1964
Cluster 6653,562.7567.peg.3084,core,Uncharacterized oxidoreductase YeiQ_11,1950
Cluster 6654,562.12959.peg.1621,accessory,D-mannonate oxidoreductase (EC 1.1.1.57)_1,1218
Cluster 6655,562.12959.peg.4815,accessory,Betaine aldehyde dehydrogenase (EC 1.2.1.8)_1,1927
Cluster 6657,562.12961.peg.1024,core,Di-tripeptide/H+ symporter DtpB_1,1965
Cluster 6659,562.17620.peg.2614,accessory,Uncharacterized protein YihF_2,1937
Cluster 6661,562.22430.peg.4551,accessory,Two-component system sensor histidine kinase_4,422
Cluster 6662,562.22489.peg.4670,unique,Two-component system sensor histidine kinase_5,44
Cluster 6666,562.22675.peg.3610,unique,Phage DNA transfer protein_25,7
Cluster 6673,562.23497.peg.37,unique,Outer membrane usher protein YehB_24,14
Cluster 6680,562.42818.peg.1061,core,tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)_1,1970
Cluster 6684,562.42818.peg.4367,core,Chromosomal replication initiator protein DnaA_1,1970
Cluster 6690,562.7642.peg.4250,unique,"Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR_11",13
Cluster 6692,562.7723.peg.4386,accessory,"Melibiose carrier protein, Na+/melibiose symporter_20",641
Cluster 6694,562.12959.peg.2713,core,Lysine-specific permease_1,1966
Cluster 6695,562.12959.peg.1393,core,Ribonuclease G_1,1970
Cluster 6696,562.12959.peg.1258,core,Rhamnulokinase (EC 2.7.1.5)_1,1948
Cluster 6697,562.12960.peg.4731,unique,serine/threonine protein kinase with TPR repeats_1,63
Cluster 6698,562.12960.peg.4811,accessory,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_3",432
Cluster 6704,562.22449.peg.1219,unique,YVTN beta-propeller repeat-containing protein_5,6
Cluster 6705,562.22547.peg.742,unique,"sodium-solute symporter, putative_2",31
Cluster 6710,562.23462.peg.5047,unique,"Phage tail tip, host specificity protein J_94",51
Cluster 6711,562.31466.peg.2912,unique,Outer membrane usher protein YraJ_13,5
Cluster 6712,562.42723.peg.310,unique,Macrolide export ATP-binding/permease protein MacB_9,11
Cluster 6718,562.7749.peg.3421,accessory,Transposase InsG for insertion sequence element IS4_60,370
Cluster 6719,562.12960.peg.4827,accessory,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)_1,381
Cluster 6722,562.12961.peg.4208,core,Sensor histidine kinase PhoQ (EC 2.7.13.3)_1,1964
Cluster 6724,562.13502.peg.3888,unique,Phage DNA transfer protein_3,129
Cluster 6727,562.22476.peg.4417,unique,"Glycosyl transferase, family 2_5",58
Cluster 6729,562.22482.peg.254,unique,"PTS system, mannitol-specific IIC component / PTS system, mannitol-specific IIB component (EC 2.7.1.197) / PTS system, mannitol-specific IIA component (EC 2.7.1.197)_1",27
Cluster 6731,562.22514.peg.5164,unique,"Phage head, terminase DNA packaging protein A_12",31
Cluster 6742,562.42822.peg.2650,unique,Allantoin permease_12,12
Cluster 6746,562.7702.peg.2732,unique,"Phage tail fiber, side tail fiber protein Stf_558",5
Cluster 6747,562.7727.peg.2259,accessory,"PTS system, arbutin-, cellobiose-, and salicin-specific IIB component / PTS system, arbutin-, cellobiose-, and salicin-specific IIC component_6",1160
Cluster 6749,562.12959.peg.2400,core,Exported zinc metalloprotease YfgC precursor_1,1970
Cluster 6750,562.12959.peg.1561,core,L-tartrate/succinate antiporter_1,1943
Cluster 6753,562.12961.peg.2800,unique,Xylulose kinase (EC 2.7.1.17)_3,56
Cluster 6755,562.22430.peg.3,accessory,Putative amidase_3,576
Cluster 6758,562.22524.peg.4059,unique,Phage tail sheath protein FI_2,36
Cluster 6761,562.22980.peg.4757,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_90,17
Cluster 6762,562.22981.peg.4527,accessory,VgrG protein_86,230
Cluster 6763,562.22994.peg.4344,unique,VgrG protein_87,70
Cluster 6765,562.23128.peg.3893,unique,Phage tail fiber protein GpH_124,11
Cluster 6769,562.23205.peg.2402,unique,Outer membrane usher protein YehB_18,14
Cluster 6772,562.23511.peg.3021,unique,DEAD-box helicase-related protein_12,11
Cluster 6778,562.12959.peg.3705,core,"Cardiolipin synthase, bacterial type ClsA_1",1970
Cluster 6781,562.22487.peg.2479,unique,Glucosyl tranferase II_1,11
Cluster 6783,562.22520.peg.1203,unique,Probable glutamate/gamma-aminobutyrate antiporter_2,14
Cluster 6784,562.22535.peg.3107,core,AMP nucleosidase (EC 3.2.2.4)_4,1957
Cluster 6787,562.22730.peg.3797,unique,Phage DNA transfer protein_31,64
Cluster 6791,562.23256.peg.3895,unique,Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)_8,5
Cluster 6792,562.23324.peg.5077,unique,"Phage tail tip, host specificity protein J_86",9
Cluster 6795,562.23480.peg.3651,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_27",27
Cluster 6802,562.7572.peg.4701,accessory,Predicted FAD containing dehydrogenase_8,1891
Cluster 6805,562.7775.peg.5154,unique,Clamp-binding protein paralog_43,11
Cluster 6806,562.12959.peg.2591,core,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)_1,1969
Cluster 6807,562.12959.peg.4868,core,Cytosol nonspecific dipeptidase (EC 3.4.13.18)_1,1970
Cluster 6808,562.12960.peg.455,core,Alkaline phosphatase (EC 3.1.3.1)_1,1964
Cluster 6811,562.22452.peg.3403,unique,"Anaerobic selenate reductase, molybdenum cofactor-containing periplasmic protein_6",13
Cluster 6814,562.22630.peg.4196,unique,Sugar-phosphate cytidylyltransferase / Short-chain dehydrogenase_1,74
Cluster 6818,562.22908.peg.4759,unique,IncF plasmid conjugative transfer protein TraN_10,9
Cluster 6820,562.23100.peg.4744,unique,"Phage terminase, large subunit_15",6
Cluster 6826,562.42743.peg.1664,unique,"Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids_14",16
Cluster 6828,562.7567.peg.3211,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_52,6
Cluster 6829,562.12959.peg.900,core,Xylulose kinase (EC 2.7.1.17)_1,1965
Cluster 6830,562.12959.peg.4626,accessory,Allantoin permease_1,1930
Cluster 6831,562.12961.peg.2259,unique,Xyloside transporter XynT_1,5
Cluster 6833,562.22466.peg.3758,accessory,Uncharacterized protein YpjB_3,214
Cluster 6834,562.22466.peg.4276,unique,Uncharacterized MFS-type transporter_50,10
Cluster 6835,562.22547.peg.1436,unique,T6SS AAA+ chaperone ClpV (TssH)_7,15
Cluster 6843,562.23366.peg.3741,unique,Integrase/recombinase (XerC/CodV family)_7,6
Cluster 6845,562.23404.peg.4061,accessory,Fructuronate transporter GntP_7,1694
Cluster 6847,562.23697.peg.4735,accessory,Phosphomannomutase (EC 5.4.2.8) => Colanic acid_19,1568
Cluster 6856,562.12959.peg.1372,core,Pantothenate:Na+ symporter (TC 2.A.21.1.1)_1,1970
Cluster 6857,562.12959.peg.4797,accessory,2-methylcitrate dehydratase (EC 4.2.1.79)_1,1932
Cluster 6858,562.12959.peg.1203,core,Trk potassium uptake system protein TrkH_1,1970
Cluster 6859,562.12959.peg.4506,accessory,Uncharacterized J domain-containing protein YbeV_1,974
Cluster 6863,562.22450.peg.4652,accessory,Na+/H+ antiporter NhaC_3,209
Cluster 6864,562.22480.peg.893,unique,Biofilm PGA outer membrane secretin PgaA_6,10
Cluster 6865,562.22501.peg.4493,unique,Phage protein_154,12
Cluster 6866,562.22683.peg.2295,unique,"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)_6",19
Cluster 6874,562.23792.peg.2276,accessory,Inner membrane protein YqcE_11,1797
Cluster 6878,562.42697.peg.2068,unique,"Protein YjgL, putative CCAAT-box DNA binding protein subunit B_37",97
Cluster 6886,562.12959.peg.4717,core,tRNA 4-thiouridine synthase (EC 2.8.1.4) / Rhodanese-like domain required for thiamine synthesis_1,1970
Cluster 6887,562.12959.peg.2223,core,Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)_1,1957
Cluster 6888,562.12960.peg.3100,core,L-fuculokinase (EC 2.7.1.51)_1,1967
Cluster 6889,562.12961.peg.1446,core,Anaerobic nitric oxide reductase flavorubredoxin_1,1970
Cluster 6893,562.17721.peg.1568,unique,Tn7-like transposition protein C_1,12
Cluster 6895,562.22448.peg.3940,unique,Phage tail fiber protein GpH_15,63
Cluster 6896,562.22453.peg.2989,unique,Tn7-like transposition protein C_2,88
Cluster 6898,562.22524.peg.4640,accessory,T6SS component TssA (ImpA)_9,603
Cluster 6899,562.22542.peg.4796,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_13,33
Cluster 6903,562.22691.peg.4505,unique,Capsular polysaccharide export system protein KpsC_5,6
Cluster 6909,562.23031.peg.4476,unique,Hemolysin activator protein precursor_6,62
Cluster 6917,562.42688.peg.4750,unique,Rhs-family protein_61,5
Cluster 6921,562.7671.peg.4929,unique,"Phage tail, tail length tape-measure protein H_189",8
Cluster 6923,562.12959.peg.1395,core,"TldD protein, part of TldE/TldD proteolytic complex_1",1970
Cluster 6924,562.12960.peg.1451,accessory,"Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B_1",760
Cluster 6927,562.12961.peg.3448,core,4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)_1,1950
Cluster 6929,562.19184.peg.3307,accessory,"Methylaspartate mutase, E subunit (EC 5.4.99.1)_1",338
Cluster 6930,562.22436.peg.4956,unique,Protein RhsD_11,19
Cluster 6931,562.22453.peg.3270,accessory,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) => Colanic acid / Mannose-6-phosphate isomerase (EC 5.3.1.8) => Colanic acid_2,1786
Cluster 6939,562.22864.peg.3897,accessory,Possible adhesin/hemolysin precursor_5,379
Cluster 6945,562.23919.peg.1157,core,"PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199)_4",1968
Cluster 6951,562.7792.peg.64,core,RNA polymerase sigma-54 factor RpoN_2,1970
Cluster 6952,562.12959.peg.3121,core,Pyruvate kinase (EC 2.7.1.40)_1,1968
Cluster 6956,562.22434.peg.4827,unique,Transposase_58,22
Cluster 6957,562.22439.peg.2961,accessory,Uncharacterized protein YfjI_5,487
Cluster 6959,562.22547.peg.740,unique,N-acyl-D-amino-acid deacylase (EC 3.5.1.81)_1,34
Cluster 6963,562.22862.peg.5257,unique,"Phage tail, tail length tape-measure protein H_50",8
Cluster 6966,562.23020.peg.4330,unique,Outer membrane vitamin B12 receptor BtuB_10,6
Cluster 6970,562.42654.peg.1558,core,Sensory histidine kinase BaeS_9,1964
Cluster 6974,562.42811.peg.2525,unique,"Phage head, terminase DNA packaging protein A_93",25
Cluster 6975,562.42818.peg.3509,core,UPF0061 protein YdiU_8,1957
Cluster 6981,562.42857.peg.4609,core,Exodeoxyribonuclease I (EC 3.1.11.1)_2,1970
Cluster 6982,562.45401.peg.8,accessory,"Tetracycline resistance, MFS efflux pump => Tet(A)_6",417
Cluster 6983,562.45916.peg.974,unique,"Trimethylamine-N-oxide reductase (EC 1.7.2.3), TorZ_14",10
Cluster 6988,562.12959.peg.3512,core,Aldehyde dehydrogenase A (EC 1.2.1.22) @ Glycolaldehyde dehydrogenase (EC 1.2.1.21)_1,1956
Cluster 6991,562.12962.peg.1790,unique,Uncharacterized 55.8 kDa protein in cps region (ORF3)_1,113
Cluster 6992,562.16466.peg.2889,accessory,Hydrogenase-4 component D_4,552
Cluster 6993,562.22430.peg.4,accessory,Na+-driven multidrug efflux pump_1,576
Cluster 6994,562.22430.peg.4673,accessory,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_5,217
Cluster 6995,562.22444.peg.4572,unique,Putative iron-regulated membrane protein FtpC in pyochelin gene cluster_1,7
Cluster 6996,562.22452.peg.1945,unique,Na+/H+ antiporter NhaC_4,48
Cluster 6998,562.22660.peg.4692,unique,"Phage tail tip, host specificity protein J_26",33
Cluster 6999,562.22679.peg.4882,unique,VgrG protein_56,12
Cluster 7001,562.22728.peg.3823,accessory,Phage tail sheath monomer GpFI_26,498
Cluster 7006,562.22964.peg.4302,unique,Phage tail fiber protein GpH_105,10
Cluster 7011,562.23302.peg.4437,accessory,Inner membrane protein YbhI_6,1725
Cluster 7015,562.42818.peg.1155,core,Phenylalanine-specific permease_1,1968
Cluster 7017,562.42857.peg.1139,unique,Uncharacterized transporter YeeO_12,10
Cluster 7020,562.12959.peg.504,core,Cytochrome c552 precursor (EC 1.7.2.2)_1,1962
Cluster 7021,562.12959.peg.338,core,Aspartate ammonia-lyase (EC 4.3.1.1)_1,1970
Cluster 7025,562.16324.peg.4270,unique,"DNA helicase (EC 3.6.4.12), phage-associated_2",72
Cluster 7026,562.19185.peg.3388,unique,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)_4,5
Cluster 7030,562.22430.peg.4559,accessory,"RTX toxin transporter, determinant D_1",465
Cluster 7036,562.22865.peg.2305,unique,Phage DNA transfer protein_34,5
Cluster 7037,562.22887.peg.4101,unique,Phosphomannomutase (EC 5.4.2.8)_8,18
Cluster 7040,562.23077.peg.2854,core,Putative alanine/glycine transport protein_5,1955
Cluster 7041,562.23078.peg.4927,unique,Antigen 43_48,80
Cluster 7047,562.23626.peg.738,core,Inner membrane transport protein YajR_3,1969
Cluster 7048,562.23634.peg.4519,accessory,Uncharacterized protein YahG_17,580
Cluster 7052,562.31449.peg.1893,unique,Putative uncharacterized protein YbfO_4,93
Cluster 7053,562.42748.peg.4586,accessory,T6SS component TssA (ImpA)_35,386
Cluster 7060,562.12959.peg.743,core,"Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)_1",1970
Cluster 7061,562.12959.peg.1545,accessory,"Inner membrane permease YgjI, clustered with evolved beta-galactosidase_1",1939
Cluster 7062,562.12959.peg.1958,core,6-phospho-beta-glucosidase (EC 3.2.1.86)_1,1967
Cluster 7063,562.12959.peg.1449,core,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)_1,1967
Cluster 7064,562.12959.peg.1572,core,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)_1,1963
Cluster 7065,562.12959.peg.1230,accessory,Uncharacterized MFS-type transporter_3,1117
Cluster 7066,562.12960.peg.5197,unique,Phage baseplate_1,116
Cluster 7068,562.12960.peg.2683,accessory,beta-fructofuranosidase (EC 3.2.1.26)_1,261
Cluster 7069,562.12961.peg.534,core,HtrA protease/chaperone protein_1,1969
Cluster 7074,562.16325.peg.4809,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_4,75
Cluster 7076,562.19186.peg.5379,unique,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)_2,6
Cluster 7078,562.22449.peg.4589,unique,beta-fructofuranosidase (EC 3.2.1.26)_4,13
Cluster 7079,562.22452.peg.4007,unique,DNA-cytosine methyltransferase (EC 2.1.1.37)_11,93
Cluster 7093,562.23608.peg.2014,unique,Fumarate hydratase class II (EC 4.2.1.2)_2,18
Cluster 7107,562.12959.peg.3637,unique,Phage tail fiber protein GpH_1,134
Cluster 7112,562.17621.peg.5085,unique,beta-fructofuranosidase (EC 3.2.1.26)_3,67
Cluster 7113,562.19184.peg.1168,core,Putative invasin_2,1963
Cluster 7114,562.19185.peg.434,core,DNA repair protein RadA_1,1970
Cluster 7117,562.22430.peg.2887,unique,T6SS PAAR-repeat protein / RhaS protein_4,80
Cluster 7119,562.22436.peg.2920,accessory,Inner membrane metabolite transport protein YgcS_1,1874
Cluster 7122,562.22463.peg.836,accessory,Voltage-gated ClC-type chloride channel ClcB_3,1748
